Division,Category,Sport,Gold,Silver,Bronze
Cebu City,"['Elementary', 'Secondary']",Billiards,0,0,0
Cebu City,"['Elementary', 'Secondary']",Boxing,0,0,0
Cebu City,"['Elementary', 'Secondary']",Chess,0,0,0
Cebu City,"['Elementary', 'Secondary']",Dancesport,0,0,0
Cebu City,"['Elementary', 'Secondary']",Football,0,0,0
Cebu City,"['Elementary', 'Secondary']",Futsal,0,0,0
Cebu City,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Cebu City,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Cebu City,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Cebu City,"['Elementary', 'Secondary']",Softball,0,0,0
Cebu City,"['Elementary', 'Secondary']",Swimming,0,0,0
Cebu City,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Cebu City,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Cebu City,"['Elementary', 'Secondary']",Volleyball,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Archery,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Arnis,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Athletics,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Badminton,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Baseball,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Basketball,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Billiards,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Boxing,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Chess,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Dancesport,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Football,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Futsal,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Softball,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Swimming,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Cebu Province,"['Elementary', 'Secondary']",Volleyball,0,0,0
Danao City,"['Elementary', 'Secondary']",Archery,0,0,0
Danao City,"['Elementary', 'Secondary']",Arnis,0,0,0
Danao City,"['Elementary', 'Secondary']",Athletics,0,0,0
Danao City,"['Elementary', 'Secondary']",Badminton,0,0,0
Danao City,"['Elementary', 'Secondary']",Baseball,0,0,0
Danao City,"['Elementary', 'Secondary']",Basketball,0,0,0
Danao City,"['Elementary', 'Secondary']",Billiards,0,0,0
Danao City,"['Elementary', 'Secondary']",Boxing,0,0,0
Danao City,"['Elementary', 'Secondary']",Chess,0,0,0
Danao City,"['Elementary', 'Secondary']",Dancesport,0,0,0
Danao City,"['Elementary', 'Secondary']",Football,0,0,0
Danao City,"['Elementary', 'Secondary']",Futsal,0,0,0
Danao City,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Danao City,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Danao City,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Danao City,"['Elementary', 'Secondary']",Softball,0,0,0
Danao City,"['Elementary', 'Secondary']",Swimming,0,0,0
Danao City,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Danao City,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Danao City,"['Elementary', 'Secondary']",Volleyball,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Archery,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Arnis,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Athletics,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Badminton,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Baseball,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Basketball,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Billiards,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Boxing,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Chess,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Dancesport,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Football,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Futsal,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Softball,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Swimming,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Lapu-Lapu City,"['Elementary', 'Secondary']",Volleyball,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Archery,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Arnis,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Athletics,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Badminton,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Baseball,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Basketball,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Billiards,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Boxing,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Chess,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Dancesport,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Football,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Futsal,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Softball,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Swimming,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Mandaue City,"['Elementary', 'Secondary']",Volleyball,0,0,0
City of Naga,"['Elementary', 'Secondary']",Archery,0,0,0
City of Naga,"['Elementary', 'Secondary']",Arnis,0,0,0
City of Naga,"['Elementary', 'Secondary']",Athletics,0,0,0
City of Naga,"['Elementary', 'Secondary']",Badminton,0,0,0
City of Naga,"['Elementary', 'Secondary']",Baseball,0,0,0
City of Naga,"['Elementary', 'Secondary']",Basketball,0,0,0
City of Naga,"['Elementary', 'Secondary']",Billiards,0,0,0
City of Naga,"['Elementary', 'Secondary']",Boxing,0,0,0
City of Naga,"['Elementary', 'Secondary']",Chess,0,0,0
City of Naga,"['Elementary', 'Secondary']",Dancesport,0,0,0
City of Naga,"['Elementary', 'Secondary']",Football,0,0,0
City of Naga,"['Elementary', 'Secondary']",Futsal,0,0,0
City of Naga,"['Elementary', 'Secondary']",Gymnastics,0,0,0
City of Naga,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
City of Naga,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
City of Naga,"['Elementary', 'Secondary']",Softball,0,0,0
City of Naga,"['Elementary', 'Secondary']",Swimming,0,0,0
City of Naga,"['Elementary', 'Secondary']",Table Tennis,0,0,0
City of Naga,"['Elementary', 'Secondary']",Taekwondo,0,0,0
City of Naga,"['Elementary', 'Secondary']",Volleyball,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Archery,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Arnis,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Athletics,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Badminton,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Baseball,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Basketball,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Billiards,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Boxing,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Chess,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Dancesport,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Football,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Futsal,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Softball,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Swimming,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Tagbilaran City,"['Elementary', 'Secondary']",Volleyball,0,0,0
Talisay City,"['Elementary', 'Secondary']",Archery,0,0,0
Talisay City,"['Elementary', 'Secondary']",Arnis,0,0,0
Talisay City,"['Elementary', 'Secondary']",Athletics,0,0,0
Talisay City,"['Elementary', 'Secondary']",Badminton,0,0,0
Talisay City,"['Elementary', 'Secondary']",Baseball,0,0,0
Talisay City,"['Elementary', 'Secondary']",Basketball,0,0,0
Talisay City,"['Elementary', 'Secondary']",Billiards,0,0,0
Talisay City,"['Elementary', 'Secondary']",Boxing,0,0,0
Talisay City,"['Elementary', 'Secondary']",Chess,0,0,0
Talisay City,"['Elementary', 'Secondary']",Dancesport,0,0,0
Talisay City,"['Elementary', 'Secondary']",Football,0,0,0
Talisay City,"['Elementary', 'Secondary']",Futsal,0,0,0
Talisay City,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Talisay City,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Talisay City,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Talisay City,"['Elementary', 'Secondary']",Softball,0,0,0
Talisay City,"['Elementary', 'Secondary']",Swimming,0,0,0
Talisay City,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Talisay City,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Talisay City,"['Elementary', 'Secondary']",Volleyball,0,0,0
Toledo City,"['Elementary', 'Secondary']",Archery,0,0,0
Toledo City,"['Elementary', 'Secondary']",Arnis,0,0,0
Toledo City,"['Elementary', 'Secondary']",Athletics,0,0,0
Toledo City,"['Elementary', 'Secondary']",Badminton,0,0,0
Toledo City,"['Elementary', 'Secondary']",Baseball,0,0,0
Toledo City,"['Elementary', 'Secondary']",Basketball,0,0,0
Toledo City,"['Elementary', 'Secondary']",Billiards,0,0,0
Toledo City,"['Elementary', 'Secondary']",Boxing,0,0,0
Toledo City,"['Elementary', 'Secondary']",Chess,0,0,0
Toledo City,"['Elementary', 'Secondary']",Dancesport,0,0,0
Toledo City,"['Elementary', 'Secondary']",Football,0,0,0
Toledo City,"['Elementary', 'Secondary']",Futsal,0,0,0
Toledo City,"['Elementary', 'Secondary']",Gymnastics,0,0,0
Toledo City,"['Elementary', 'Secondary']",Pencak Silat,0,0,0
Toledo City,"['Elementary', 'Secondary']",Sepak Takraw,0,0,0
Toledo City,"['Elementary', 'Secondary']",Softball,0,0,0
Toledo City,"['Elementary', 'Secondary']",Swimming,0,0,0
Toledo City,"['Elementary', 'Secondary']",Table Tennis,0,0,0
Toledo City,"['Elementary', 'Secondary']",Taekwondo,0,0,0
Toledo City,"['Elementary', 'Secondary']",Volleyball,0,0,0
